Location,Latitude,Longitude,Depth (m),Clay (%),Silt (%),Sand (%),Gravels (%),D10,D30,D60,CU,CC,1D inverted resistivity,Lab. Resistivity  (Oa),Moisture content (%),pH,Soil Type,Fine Soil (%) ,Sand (%),USCS Group Symbol
UTP Perak,4.383841545,100.9711978,0.5,6.91,2.61,83.88,6.6,0.65,0.154,0.32,4.92,1.14,33.71,436.76,14.39,4.73,Inorganic Clay,73,27,CL
UTP Perak,4.383841545,100.9711978,1,5.9,5.33,88.35,0.42,0.22,0.92,0.188,8.55,2.5,49.93,2732.25,11.35,0,Inorganic Clay,0,0,CL
UTP Perak,4.383841545,100.9711978,1.5,3.64,4.75,91.61,0,0.53,0.88,0.162,3.6,0.9,61.38,186.41,18.46,0,Inorganic Clay,0,0,CL
UTP Perak,4.383841545,100.9711978,2,1.81,1.81,96.38,0,0.58,0.8,0.14,2.41,0.79,69.63,946.18,12.34,0,Inorganic Clay,0,0,CL
UTP Perak,4.383841545,100.9711978,2.5,1.4,4.18,94.62,0.16,0.6,0.9,0.158,2.63,0.85,75.76,32.94,12.55,0,Inorganic Clay,0,0,CL
UTP Perak,4.383841545,100.9711978,3,1.24,3.95,94.78,0.3,0.6,0.95,0.174,2.9,0.86,8.45,138.74,12.78,0,Inorganic Clay,0,0,CL
"Pinji Perda, Perak",4.522259263,101.0751779,0.5,34.53,2.41,6.56,0,0,0,0.25,0,0,635.8,2124.8,21.6,4.54,Inorganic silt,7,3,MH
"Pinji Perda, Perak",4.522259263,101.0751779,1,3.52,3.21,66.17,0,0,0.3,0.32,0,0,96.3,7424.98,14.44,0,Inorganic silt,0,0,MH
"Pinji Perda, Perak",4.522259263,101.0751779,1.5,21.68,7.23,71.9,0,0,0.17,0.45,0,0,154,4616.57,16.39,0,Inorganic silt,0,0,MH
"Pinji Perda, Perak",4.522259263,101.0751779,2,18.47,7.23,74.2,0.1,0,0.18,0.51,0,0,1135.5,3868.3,1.67,0,Inorganic silt,0,0,MH
"Pinji Perda, Perak",4.522259263,101.0751779,2.5,42.56,7.23,5.21,0,0,0,0.15,0,0,1182.3,1148.19,27.12,0,Inorganic silt,0,0,MH
"Pinji Perda, Perak",4.522259263,101.0751779,3,44.97,12.5,42.98,0,0,0,0.54,0,0,121.2,1238.64,31.36,0,Inorganic silt,0,0,MH
"Sg. Koyan, Pahang",4.258812685,101.8252584,0.5,11.36,9.47,79.17,0,0.3,0.2,0.27,9,0.49,55.1,1191.1,19.57,4.94,Inorganic silt,95,5,MH
"Sg. Koyan, Pahang",4.258812685,101.8252584,1,3.24,24.34,72.42,0,0.3,0.57,0.46,153.33,2.35,634.8,123.19,22.83,0,Inorganic silt,0,0,MH
"Sg. Koyan, Pahang",4.258812685,101.8252584,1.5,24.34,35.68,39.98,0,0.13,0.45,0.5,38.46,0.31,642.2,1148.5,16.12,0,Inorganic silt,0,0,MH
"Sg. Koyan, Pahang",4.258812685,101.8252584,2,1,33.8,56.2,0,0.2,0.61,0.175,87.5,0.11,69.7,179.61,27.35,0,Inorganic silt,0,0,MH
"Sg. Koyan, Pahang",4.258812685,101.8252584,2.5,11.36,45.42,43.22,0,0.13,0.4,0.45,34.62,0.27,571,887.25,26.19,0,Inorganic silt,0,0,MH
"Sg. Koyan, Pahang",4.258812685,101.8252584,3,6.49,14.6,78.91,0,0.6,0.9,0.57,95,2.37,536.8,885.94,24.6,0,Inorganic silt,0,0,MH
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,0.5,26.63,23.47,49.8,0,0.1,0.4,0.19,19,0.8,35.64,1.74,25.69,MH,Poorly Graded Sand,7,93,SP
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,1,12.91,5.99,81,0,0.1,0.6,1.14,814.29,225.56,61.8,33.62,19.53,SM,Poorly Graded Sand,0,0,SP
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,1.5,13.72,4.28,82,0,0.1,0.59,1,769.23,267.77,8.18,134.77,27.83,SM,Poorly Graded Sand,0,0,SP
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,2,12.11,1.49,76.2,1.2,0.1,0.456,0.9,818.18,29.58,93.99,113.33,3.52,SM,Poorly Graded Sand,0,0,SP
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,2.5,5.65,1.75,92.5,0,0.455,0.78,1.25,2.75,1.7,13.9,299.18,27.32,SP-SM,Poorly Graded Sand,0,0,SP
"Pudu Ulu, Kuala Lumpur",3.119926594,101.7306685,3,7.26,4.4,88.6,0,0.1,0.65,1.5,15,4.24,111.1,427.4,16.9,SP-SM,Poorly Graded Sand,0,0,SP
"Shah Alam, Selangor",3.07314704,101.5235644,0.5,28,33.65,38.35,0,0,0,0,3,1.33,25.32,616.12,32.68,3.28,Clayey Sand,24,76,SC
"Shah Alam, Selangor",3.07314704,101.5235644,1,52,33.2,14.8,0,0,0,0,0,0,39.52,11.62,64.45,0,Clayey Sand,0,0,SC
"Shah Alam, Selangor",3.07314704,101.5235644,1.5,52,26,22,0,0,0,0,0,0,47.74,44.72,39.5,0,Clayey Sand,0,0,SC
"Shah Alam, Selangor",3.07314704,101.5235644,2,43,29.8,27.2,0,0,0,0.1,0,0,51.58,25.57,35.6,0,Clayey Sand,0,0,SC
"Shah Alam, Selangor",3.07314704,101.5235644,2.5,53,34.4,12.6,0,0,0,0,0,0,52.78,4.93,53.47,0,Clayey Sand,0,0,SC
"Shah Alam, Selangor",3.07314704,101.5235644,3,54,29,17,0,0,0,0,0,0,52.5,48.13,66.32,0,Clayey Sand,0,0,SC
"Puncak Perda, Selangor",3.135983112,101.4937453,0.5,38,9.62,52.38,0,0,0,0.28,0,0,224.1,259.67,19.98,3.92,Clayey Sand,37,63,SC
"Puncak Perda, Selangor",3.135983112,101.4937453,1,44,16,4,0,0,0,0.5,0,0,1869.6,2622,32.64,0,Clayey Sand,0,0,SC
